"Services total","All countries and international organisations","Exports of Services (Euro Million)",37133,42424,48219,57069,67960,67947,67602,74311,81468,85788,92452,105327,126283,140971
"Services total","All countries and international organisations","Imports of Services (Euro Million)",48223,52625,57521,63867,69081,75617,74503,80951,83168,92538,93089,111453,152947,186179
"Services total","All offshore centres","Exports of Services (Euro Million)",1392,1094,2075,2420,2424,2766,2956,3360,3045,3023,3280,2935,3230,4158
"Services total","All offshore centres","Imports of Services (Euro Million)",2299,3237,3798,3495,2980,3405,4015,4145,3638,5389,6747,19228,36075,34306
"Services total","International organisations","Exports of Services (Euro Million)",0,0,0,0,0,0,0,18,12,0,0,0,0,25
"Services total","International organisations","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services total","Australia","Exports of Services (Euro Million)",0,228,300,416,609,633,632,964,1193,1469,1723,2071,2672,2818
"Services total","Australia","Imports of Services (Euro Million)",0,229,281,306,509,317,308,404,330,429,411,259,218,232
"Services total","Belgium","Exports of Services (Euro Million)",0,718,891,965,1095,1507,1580,1186,1429,1525,1622,1990,2539,2464
"Services total","Belgium","Imports of Services (Euro Million)",0,3021,3775,3483,1253,1494,1012,1077,1818,1697,1528,1558,1936,3151
"Services total","Bermuda","Exports of Services (Euro Million)",0,822,1241,834,863,1117,1306,1430,1294,890,1068,522,194,320
"Services total","Bermuda","Imports of Services (Euro Million)",0,2960,3019,2615,2471,2231,2976,3107,2163,3627,4245,4912,5503,3578
"Services total","Brazil","Exports of Services (Euro Million)",0,56,0,112,122,199,218,175,258,340,407,640,953,1052
"Services total","Brazil","Imports of Services (Euro Million)",0,8,0,8,14,70,10,50,51,51,101,95,163,176
"Services total","Canada","Exports of Services (Euro Million)",234,427,610,536,612,557,608,592,1095,1043,1105,1191,1435,1445
"Services total","Canada","Imports of Services (Euro Million)",193,221,308,269,282,253,254,624,357,396,281,170,254,263
"Services total","Switzerland","Exports of Services (Euro Million)",0,1061,1161,1140,1384,1599,1651,1693,3690,2413,2679,2829,3278,3432
"Services total","Switzerland","Imports of Services (Euro Million)",0,454,563,602,587,1424,1169,1571,1880,2037,2108,2094,3195,0
"Services total","China","Exports of Services (Euro Million)",0,232,1095,947,1233,1425,1533,1803,2160,2305,1359,1363,3454,3864
"Services total","China","Imports of Services (Euro Million)",0,41,91,265,131,430,203,299,195,201,281,303,424,338
"Services total","Germany","Exports of Services (Euro Million)",3480,4652,6032,5795,6644,6670,6673,7750,7659,9095,8338,8804,10415,10484
"Services total","Germany","Imports of Services (Euro Million)",2535,2610,3033,2978,3589,3169,3031,3495,2734,3467,2251,2791,3705,3953
"Services total","Spain","Exports of Services (Euro Million)",0,1107,1372,1613,2056,2017,2491,2503,2493,2610,2131,2341,3365,3804
"Services total","Spain","Imports of Services (Euro Million)",0,1587,1537,1644,2205,2071,1795,1642,1718,1621,1685,1592,1826,2301
"Services total","France","Exports of Services (Euro Million)",2212,3178,3201,2982,4591,4832,4493,4834,4654,5014,4902,5275,6354,6229
"Services total","France","Imports of Services (Euro Million)",1878,2256,2455,2570,3527,3640,3317,3217,2932,2921,2168,2412,2673,2645
"Services total","United Kingdom","Exports of Services (Euro Million)",9369,11058,12257,12853,15758,15289,13682,14632,15002,15775,17522,19816,21632,22496
"Services total","United Kingdom","Imports of Services (Euro Million)",7355,7725,8717,10045,12017,11841,10441,10639,10126,10638,9726,11969,12683,11841
"Services total","Italy","Exports of Services (Euro Million)",1783,2139,2565,3836,4430,4192,4363,4157,4677,5091,5478,5710,6535,5677
"Services total","Italy","Imports of Services (Euro Million)",1095,1429,1469,1680,2447,2406,2265,2360,2193,2462,2233,2566,3176,2977
"Services total","Japan","Exports of Services (Euro Million)",383,671,1010,881,897,1152,1052,1437,1533,2487,2470,2680,3219,4769
"Services total","Japan","Imports of Services (Euro Million)",485,558,742,300,561,500,448,596,682,878,874,985,981,1190
"Services total","South Korea","Exports of Services (Euro Million)",0,0,669,698,605,442,295,209,318,658,552,641,645,767
"Services total","South Korea","Imports of Services (Euro Million)",0,32,75,96,41,30,48,40,39,35,75,61,47,57
"Services total","Luxembourg","Exports of Services (Euro Million)",0,616,760,837,881,921,860,1073,465,134,161,1743,1625,2998
"Services total","Luxembourg","Imports of Services (Euro Million)",0,516,610,1910,3466,4378,5135,5709,5376,0,7629,6347,6316,0
"Services total","Netherlands","Exports of Services (Euro Million)",1819,2195,2117,1876,2674,2817,3113,3355,3397,3570,3525,3877,4316,4314
"Services total","Netherlands","Imports of Services (Euro Million)",4639,5403,4094,4630,3175,7311,8122,10129,11642,14498,14731,15740,19340,18381
"Services total","Sweden","Exports of Services (Euro Million)",0,752,870,1076,1354,1382,1256,1267,1815,1691,1971,2089,2526,2743
"Services total","Sweden","Imports of Services (Euro Million)",0,340,399,346,459,424,404,366,473,325,388,425,629,623
"Services total","Taiwan, Province of China","Exports of Services (Euro Million)",0,320,378,273,267,364,359,322,461,624,515,512,490,565
"Services total","Taiwan, Province of China","Imports of Services (Euro Million)",0,0,30,48,47,85,53,62,91,81,122,99,111,0
"Services total","United States","Exports of Services (Euro Million)",5010,5135,4133,5461,6120,4708,4341,5484,5676,7908,8726,9076,13331,14742
"Services total","United States","Imports of Services (Euro Million)",15473,17163,19883,21031,23111,22994,23703,24704,25003,25277,22915,26445,29481,40348
"Services total","South Africa","Exports of Services (Euro Million)",0,386,538,556,590,536,547,654,612,661,775,731,951,844
"Services total","South Africa","Imports of Services (Euro Million)",0,201,259,291,308,275,216,209,165,78,108,132,228,195
"Services total","Africa (6)","Exports of Services (Euro Million)",0,579,751,841,1254,1037,1132,1308,1288,1230,1938,1879,1721,1642
"Services total","Africa (6)","Imports of Services (Euro Million)",0,327,307,398,407,420,352,393,440,275,280,411,531,423
"Services total","Asia (6)","Exports of Services (Euro Million)",1609,2419,4012,4223,4973,5690,5764,7154,8532,10709,10832,12472,17181,19897
"Services total","Asia (6)","Imports of Services (Euro Million)",1327,1393,1516,1201,1394,1952,1606,1894,1921,2492,2579,2762,7121,9728
"Services total","Oceania and Polar Regions (2)","Exports of Services (Euro Million)",0,280,400,484,691,729,729,1093,1432,1649,1910,2360,2937,3124
"Services total","Oceania and Polar Regions (2)","Imports of Services (Euro Million)",0,255,331,328,534,335,321,426,0,0,438,288,252,254
"Services total","Central America (1)","Exports of Services (Euro Million)",1291,1200,1953,1687,1840,2004,2309,2412,1904,0,0,1542,0,1868
"Services total","Central America (1)","Imports of Services (Euro Million)",2264,3071,3228,2927,2799,2695,3484,3780,3309,4683,6115,18128,28996,27771
"Services total","EMU17","Exports of Services (Euro Million)",0,0,0,0,0,0,25528,26652,27896,0,0,0,0,0
"Services total","EMU17","Imports of Services (Euro Million)",0,0,0,0,0,0,26762,29552,30653,0,0,0,0,0
"Services total","EMU16","Exports of Services (Euro Million)",0,0,0,0,24370,24910,0,0,0,0,0,0,0,0
"Services total","EMU16","Imports of Services (Euro Million)",0,0,0,0,20778,25977,0,0,0,0,0,0,0,0
"Services total","EMU12","Exports of Services (Euro Million)",12438,16003,18140,0,0,0,0,0,0,0,0,0,0,0
"Services total","EMU12","Imports of Services (Euro Million)",16039,17736,17753,0,0,0,0,0,0,0,0,0,0,0
"Services total","EMU13","Exports of Services (Euro Million)",0,0,0,19279,0,0,0,0,0,0,0,0,0,0
"Services total","EMU13","Imports of Services (Euro Million)",0,0,0,19828,0,0,0,0,0,0,0,0,0,0
"Services total","EMU18","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services total","EMU18","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Services total","EMU19","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,28830,28571,32834,38700,39726
"Services total","EMU19","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,34020,33438,34340,40618,41901
"Services total","EU28","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,49208,51205,58169,67407,69644
"Services total","EU28","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,45809,44430,47829,55307,55711
"Services total","EU25","Exports of Services (Euro Million)",23157,28821,32765,0,0,0,0,0,0,0,0,0,0,0
"Services total","EU25","Imports of Services (Euro Million)",24436,26654,28026,0,0,0,0,0,0,0,0,0,0,0
"Services total","EU27","Exports of Services (Euro Million)",0,0,0,35251,43911,44195,42843,45073,47429,0,0,0,0,0
"Services total","EU27","Imports of Services (Euro Million)",0,0,0,31684,34189,39342,38443,41442,42327,0,0,0,0,0
"Services total","Europe (3)","Exports of Services (Euro Million)",24694,30541,35006,38089,47809,48520,46872,49683,51425,55007,57815,65000,74707,77345
"Services total","Europe (3)","Imports of Services (Euro Million)",25531,27512,29107,33016,35168,41759,40362,43817,44961,48574,47106,50716,61923,82958
"Services total","North America (1)","Exports of Services (Euro Million)",5244,5562,4743,6000,6732,5266,4950,6077,6771,8950,9831,10267,14766,16188
"Services total","North America (1)","Imports of Services (Euro Million)",15667,17383,20192,21300,23394,23247,23957,25326,25362,25674,23195,26614,29736,40611
"Services total","South America (1)","Exports of Services (Euro Million)",152,130,198,255,273,349,378,401,572,0,0,1629,0,1711
"Services total","South America (1)","Imports of Services (Euro Million)",133,38,25,30,26,95,27,89,111,159,215,218,286,266
"Services total","Not geographically allocated","Exports of Services (Euro Million)",3412,1713,1156,5490,4388,4352,0,6165,9532,0,0,0,0,19173
"Services total","Not geographically allocated","Imports of Services (Euro Million)",2441,2646,2815,4667,5359,5114,4394,5226,6658,10169,0,0,0,0
"Transport","All countries and international organisations","Exports of Services (Euro Million)",1708,1895,2131,2334,2908,3010,3045,3657,4352,4609,4827,5193,6553,7300
"Transport","All countries and international organisations","Imports of Services (Euro Million)",1725,1790,1982,2027,2067,1908,1610,1630,1645,1547,1587,2171,2719,2718
"Transport","All offshore centres","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","All offshore centres","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","International organisations","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","International organisations","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Australia","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Australia","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Belgium","Exports of Services (Euro Million)",0,0,0,20,29,28,0,23,24,25,20,9,164,168
"Transport","Belgium","Imports of Services (Euro Million)",0,0,0,22,27,26,19,20,20,20,22,129,133,148
"Transport","Bermuda","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Bermuda","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
