"France","Overseas Trips to Ireland by Non-Residents (Thousand)",67,129,129,71,84,144,130,75,69,149,150,88,88,160,156,101,98,165,171,98,107,169,164,109
"France","Average Length of Stay by Overseas Travellers to Ireland (Nights)",7.8,8.5,10.6,9.6,7.9,9.1,9.7,8.4,7.6,9.0,9.5,8.3,8.1,8.5,9.8,7.6,8.3,9.9,10.6,7.4,8.6,8.1,9.5,11.3
"France","Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)",29,63,66,31,37,60,72,31,25,64,78,34,33,78,84,41,42,92,103,38,51,82,99,63
"Great Britain (includes England, Scotland, Wales)","Overseas Trips to Ireland by Non-Residents (Thousand)",562,735,830,646,570,727,905,727,635,838,923,768,726,886,1050,884,851,1014,1148,911,796,949,1065,918
"Great Britain (includes England, Scotland, Wales)","Average Length of Stay by Overseas Travellers to Ireland (Nights)",4.3,4.4,5.3,4.4,4.5,4.3,5.5,4.2,4.3,4.2,5.5,3.9,4.1,4.2,5.1,3.6,3.8,4.0,5.0,3.8,4.0,4.3,5.2,3.9
"Great Britain (includes England, Scotland, Wales)","Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)",168,218,246,186,176,194,281,196,171,223,280,212,181,246,309,236,214,269,337,241,198,267,303,239
"Germany","Overseas Trips to Ireland by Non-Residents (Thousand)",66,134,155,93,73,141,166,103,83,171,189,115,86,196,214,133,104,192,223,133,99,210,225,148
"Germany","Average Length of Stay by Overseas Travellers to Ireland (Nights)",9.9,8.2,9.2,9.3,9.4,9.2,10.3,9.0,9.6,9.7,10.1,8.4,10.1,10.4,9.1,8.5,7.9,8.3,9.5,7.9,8.4,7.5,8.8,8.7
"Germany","Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)",27,71,82,47,37,94,101,54,36,122,124,51,41,146,144,66,44,122,159,63,40,135,146,78
"Italy","Overseas Trips to Ireland by Non-Residents (Thousand)",40,68,94,50,39,63,83,49,44,62,98,54,60,81,116,65,62,96,129,58,60,97,130,76
"Italy","Average Length of Stay by Overseas Travellers to Ireland (Nights)",5.7,7.8,10.9,12.3,6.8,8.1,10.8,8.8,6.3,8.9,11.6,9.0,6.6,6.9,10.7,8.5,5.3,7.5,9.9,6.4,5.7,8.8,9.0,9.6
"Italy","Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)",18,30,39,20,19,32,49,18,18,31,60,23,24,32,70,26,22,44,88,21,23,55,80,33
"United States and Canada","Overseas Trips to Ireland by Non-Residents (Thousand)",145,306,365,201,169,351,415,223,179,396,490,264,191,468,550,305,238,520,638,412,293,629,733,447
"United States and Canada","Average Length of Stay by Overseas Travellers to Ireland (Nights)",8.0,8.6,8.4,9.1,7.3,7.9,8.3,8.8,7.3,7.0,7.9,7.3,7.0,7.7,7.8,8.0,6.9,6.7,7.4,7.7,6.0,7.0,7.3,6.8
"United States and Canada","Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)",97,210,287,148,101,239,329,153,107,267,389,172,125,375,470,226,144,394,494,303,152,476,580,315
"Other Europe (14)","Overseas Trips to Ireland by Non-Residents (Thousand)",223,342,396,291,248,357,408,300,252,389,425,302,292,415,501,380,336,476,562,400,329,546,568,445
"Other Europe (14)","Average Length of Stay by Overseas Travellers to Ireland (Nights)",8.4,8.3,10.4,8.8,7.9,8.5,10.0,8.1,7.8,9.1,9.7,8.9,8.4,8.2,10.1,7.5,9.6,8.2,9.7,8.0,7.1,7.4,8.8,7.8
"Other Europe (14)","Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)",96,145,177,125,120,159,226,124,104,177,226,131,117,192,301,161,137,208,324,151,121,250,316,196
"Australia and New Zealand","Overseas Trips to Ireland by Non-Residents (Thousand)",21,43,56,34,26,49,69,43,30,51,69,39,31,55,76,46,31,51,73,49,35,54,76,43
"Australia and New Zealand","Average Length of Stay by Overseas Travellers to Ireland (Nights)",16.2,11.6,10.8,10.0,16.2,11.4,10.7,11.2,15.5,10.1,12.8,12.7,14.0,10.7,12.9,12.2,14.2,12.5,11.9,12.3,15.8,11.2,12.5,12.1
"Australia and New Zealand","Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)",18,36,49,30,24,47,61,37,29,45,67,36,27,52,79,42,31,52,76,45,38,53,76,41
"Other countries (18)","Overseas Trips to Ireland by Non-Residents (Thousand)",44,61,68,51,43,61,86,59,51,71,98,64,57,85,108,82,64,86,117,79,76,115,135,85
"Other countries (18)","Average Length of Stay by Overseas Travellers to Ireland (Nights)",16.3,13.7,13.9,11.9,15.7,11.6,15.6,13.5,16.0,17.4,13.5,13.0,14.8,14.3,15.2,15.9,18.0,15.3,15.2,14.5,16.5,12.0,14.7,20.3
"Other countries (18)","Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)",30,42,48,35,27,45,68,52,44,71,78,52,43,72,92,75,60,79,112,68,61,92,137,81
"All Countries","Overseas Trips to Ireland by Non-Residents (Thousand)",1167,1817,2095,1438,1252,1893,2261,1580,1343,2127,2440,1695,1531,2345,2771,1996,1785,2599,3062,2139,1796,2769,3096,2271
"All Countries","Average Length of Stay by Overseas Travellers to Ireland (Nights)",6.8,7.0,8.1,7.2,6.7,7.0,8.2,6.8,6.6,7.1,8.1,6.6,6.5,7.0,7.9,6.4,6.5,6.7,7.7,6.4,6.2,6.6,7.6,6.9
"All Countries","Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)",483,816,994,622,541,870,1186,665,534,1001,1303,711,590,1194,1551,873,693,1261,1693,930,684,1408,1736,1046
