"All ILO economic status","Irish",3007.9,3021.2,3032.2,3042.3,3051.9,3062.2,3070.9,3079.1,3085.5,3093.2,3100.4,3106.7,3107.4,3112.7,3116.2,3118.6,3119.2,3119.6,3121.5,3122.2,3122.3,3122.1,3122.7,3121.6,3123.3,3123.6,3123.1,3114.1,3113.5,3115.0,3115.3,3113.1,3115.6,3114.5,3116.8,3115.5,3120.2,3121.7,3125.6,3132.3,3143.3,3147.9,3152.5,3161.9
"All ILO economic status","Non-Irish",406.7,425.2,440.6,455.9,468.6,481.5,491.0,495.8,496.7,495.9,493.4,493.5,491.5,486.8,482.8,479.6,479.6,479.4,477.6,476.9,475.8,472.6,471.1,469.4,472.2,472.9,471.4,472.2,479.3,482.4,481.2,480.7,480.0,487.4,490.4,491.6,493.1,496.8,500.5,505.4,505.3,507.0,513.8,520.0
"All ILO economic status","UK",99.4,99.3,99.2,99.3,100.1,100.8,101.5,101.9,101.9,102.0,102.0,102.1,102.5,102.7,102.9,103.1,103.3,103.4,103.4,103.5,103.4,103.2,103.0,102.8,103.2,103.1,102.9,103.3,103.8,104.6,105.1,105.1,105.8,105.9,105.4,106.1,106.7,107.0,108.5,108.9,108.6,109.5,109.9,109.1
"All ILO economic status","Other nationalities (7)",128.4,132.2,121.1,122.7,124.9,127.1,128.8,130.1,130.9,131.9,132.4,133.5,133.5,132.7,132.1,131.7,132.8,134.1,134.5,135.7,136.0,135.5,135.6,136.0,138.0,137.7,140.3,142.4,148.2,149.3,151.1,153.6,155.3,162.4,164.6,162.9,169.2,172.8,178.9,172.7,173.2,172.6,176.2,180.0
"All ILO economic status","EU15 to EU28 states",137.3,151.6,178.3,191.8,200.7,210.0,216.8,219.4,218.3,215.3,211.6,209.1,206.7,203.5,200.6,198.1,197.0,195.7,194.1,192.7,191.9,190.6,189.7,188.7,188.4,188.7,187.7,186.5,187.6,188.2,188.4,187.4,188.8,189.3,193.3,194.5,190.8,192.6,189.6,196.3,195.8,195.4,196.8,199.7
"All ILO economic status","EU15 excluding Irish and UK",41.5,42.0,42.0,42.1,42.8,43.5,43.9,44.5,45.6,46.7,47.5,48.8,48.8,47.9,47.2,46.7,46.5,46.2,45.5,45.0,44.5,43.4,42.7,41.9,42.6,43.4,40.4,39.9,39.8,40.3,36.6,34.6,30.1,29.8,27.2,28.1,26.4,24.4,23.5,27.5,27.7,29.4,30.9,31.2
"All ILO economic status","All nationalities",3414.6,3446.4,3472.7,3498.2,3520.5,3543.7,3561.9,3575.0,3582.3,3589.1,3593.8,3600.2,3598.9,3599.4,3599.1,3598.2,3598.8,3599.0,3599.1,3599.1,3598.1,3594.7,3593.8,3591.0,3595.5,3596.5,3594.5,3586.3,3592.8,3597.4,3596.5,3593.9,3595.6,3601.9,3607.3,3607.1,3613.3,3618.5,3626.1,3637.7,3648.5,3654.8,3666.3,3681.9
"In employment","Irish",1792.8,1788.5,1796.3,1806.8,1831.6,1814.5,1798.9,1802.1,1799.4,1756.2,1690.6,1669.9,1656.7,1629.6,1610.0,1615.7,1614.2,1586.0,1573.0,1583.5,1568.2,1577.9,1558.9,1566.1,1571.6,1579.7,1580.0,1593.8,1614.2,1626.2,1609.7,1619.1,1642.3,1653.4,1649.2,1667.8,1681.3,1682.2,1672.0,1699.7,1721.4,1731.7,1722.7,1733.4
"In employment","Non-Irish",285.6,302.7,314.3,329.3,338.0,341.5,347.4,345.3,337.0,327.3,305.8,304.1,296.8,291.8,281.9,277.9,271.8,271.3,268.8,277.8,277.5,269.7,266.1,270.0,269.6,269.2,265.6,276.1,285.1,283.6,278.5,282.5,284.6,285.6,280.3,290.9,301.7,300.9,304.5,315.2,319.1,316.4,322.4,329.7
"In employment","UK",56.7,57.1,57.6,58.7,54.8,56.8,55.5,54.5,54.5,54.0,52.5,53.7,49.9,53.0,50.6,50.8,49.5,48.3,48.8,48.4,44.9,44.6,43.9,45.9,47.4,46.5,45.5,49.9,50.9,49.8,49.5,49.3,49.3,51.0,48.9,52.2,55.7,53.5,54.5,54.6,56.9,54.3,55.9,57.7
