"Total food and live animals (0)","Value of Imports (Euro Thousand)",150684,212362,242922,320086,451160,490055,629502,727508,968406,956595,1073180,1184628,1262680,1248381,1251288,1353844,1464964,1420359,1560438,1625265,1572698,1789951,1873118,1962888,2102941,2325905,2555855,2825700,3116000,3156600,3159700,3273100,3681000,4086100,4592900,4681100,4416900,4578900,5018400,5589300,6033000,6189400,6686800,6689000,7167500
"Total food and live animals (0)","Value of Exports (Euro Thousand)",447240,535069,816029,933372,1216127,1448416,1537578,1737969,1788472,1949268,2214159,2620960,2799753,2786723,3398077,3682951,4074503,3627894,3850133,4802911,5013434,5429781,6157978,5260906,4602039,4947026,5483745,5948400,5801100,5779800,5779500,6062900,6379600,7034200,7602900,7085200,6279900,7003200,7874400,8132300,8733800,9350500,9877800,10096400,11368000
"Live animals except fish etc. (00)","Value of Imports (Euro Thousand)",27357,19249,17865,22500,49863,61791,91317,74964,135156,136742,122671,140377,162528,84733,81929,96200,103019,69818,84775,90278,46345,51678,74153,82152,137767,140433,149829,227900,198900,170600,210800,224500,246000,294100,284000,239200,186300,173300,199600,189500,216900,259500,318500,283600,297300
"Live animals except fish etc. (00)","Value of Exports (Euro Thousand)",107468,91858,156916,137459,194712,228152,143607,172888,213051,215265,297615,325932,319371,324282,220799,291108,247533,256036,174336,166590,201127,239092,222966,189953,148940,178271,298261,420000,184700,210800,238300,229200,259200,350800,299100,248100,296200,338700,356900,329700,432100,405100,430500,340000,447300
"Meat and meat preparations (01)","Value of Imports (Euro Thousand)",1329,2768,5079,7380,10541,13052,15981,31279,55362,51499,65932,75891,74303,75675,88505,102931,144094,109760,134616,141957,103611,147544,180811,180811,196175,217379,240234,299500,391600,383700,416500,481300,554700,612900,633200,688000,638900,655700,713400,788900,811900,869400,965300,956200,980500
"Meat and meat preparations (01)","Value of Exports (Euro Thousand)",168154,228117,304511,306752,485642,544467,573804,757770,620930,667506,704961,680491,773057,837000,968850,970308,1128153,1044842,1124381,1303259,1464262,1542351,1589839,1374238,1352144,1481657,1770523,1752200,1594100,1744500,1857600,2054000,2175900,2391800,2382800,2390200,2184700,2407400,2762300,2979400,3005400,3331300,3499800,3596000,3845600
"Dairy products and birds eggs (02)","Value of Imports (Euro Thousand)",2692,3609,8728,11144,13579,14765,18891,30718,52802,39576,47040,37431,41410,39022,43712,53344,61859,70308,78695,92691,111737,127355,169764,183096,207475,235409,280612,273800,267900,275800,333800,340100,374000,410300,459000,478600,386900,435400,473800,543200,643800,765000,698700,611200,785400
"Dairy products and birds eggs (02)","Value of Exports (Euro Thousand)",94366,108919,193848,255497,243074,314181,414589,366349,474987,474811,501643,743150,680864,596730,787526,864624,1010045,653852,790483,1273674,1007537,973889,1262247,961446,1051851,1019092,1008045,1160600,1080900,952400,955600,1056400,1107100,1195100,1476600,1441900,1113800,1430800,1777100,1646800,1882300,1835000,1786800,1759700,2394100
"Fish, crustaceans, molluscs and preparations thereof (03)","Value of Imports (Euro Thousand)",3346,4254,5344,7356,10789,13072,16165,21197,27770,32326,34442,36930,41273,42037,45700,50021,50786,67051,66210,61836,55234,52948,58281,65518,70597,84184,90659,96500,136000,119400,95500,105600,132200,150700,183300,163500,148000,167200,189600,211100,211300,236300,265400,263300,290400
"Fish, crustaceans, molluscs and preparations thereof (03)","Value of Exports (Euro Thousand)",13501,15618,17328,24995,31007,37758,41222,50743,64247,87274,98323,100471,119131,119918,157371,173679,185014,193389,222127,223093,217125,235536,265629,305118,280358,294960,299404,323900,423100,410600,372300,370600,336200,343800,357000,332900,323800,370500,416100,523400,480600,531400,567600,554700,614000
